row_id,Attack Type,split
row_017190,Malware,train
row_011638,Malware,train
row_033859,Malware,train
row_004628,Malware,train
row_022307,Intrusion,train
row_023478,Intrusion,train
row_008473,Intrusion,train
row_035594,Malware,train
row_032627,Intrusion,train
row_009377,Malware,train
row_016403,Intrusion,train
row_011348,Malware,train
row_036187,DDoS,train
row_019527,Malware,train
row_036352,Malware,train
row_012908,Intrusion,train
row_010090,Intrusion,train
row_025533,DDoS,train
row_028805,Intrusion,train
row_001371,DDoS,train
row_011206,Malware,train
row_032000,Intrusion,train
row_036938,DDoS,train
row_019134,Malware,train
row_001518,Malware,train
row_021983,DDoS,train
row_013314,Malware,train
row_032547,Malware,train
row_036473,Intrusion,train
row_012473,DDoS,train
row_027164,Malware,train
row_009498,DDoS,train
row_038552,DDoS,train
row_011060,Malware,train
row_030705,Malware,train
row_023838,Malware,train
row_034223,Malware,train
row_013701,DDoS,train
row_029314,Malware,train
row_016318,Malware,train
row_008237,Malware,train
row_011766,Malware,train
row_025617,DDoS,train
row_015676,Intrusion,train
row_001252,Intrusion,train
row_000470,Malware,train
row_011827,Intrusion,train
row_012262,DDoS,train
row_019511,Malware,train
row_034779,Malware,train
row_018844,DDoS,train
row_025832,Malware,train
row_000560,Malware,train
row_037843,DDoS,train
row_001250,Intrusion,train
row_010085,Intrusion,train
row_006188,Malware,train
row_033433,Intrusion,train
row_034686,Malware,train
row_037108,DDoS,train
row_025276,DDoS,train
row_023307,Intrusion,train
row_010127,Malware,train
row_015005,Malware,train
row_030563,Malware,train
row_013110,DDoS,train
row_002040,Intrusion,train
row_004279,Malware,train
row_013118,DDoS,train
row_007296,Intrusion,train
row_022413,DDoS,train
row_008452,Malware,train
row_038489,DDoS,train
row_013280,DDoS,train
row_011179,Intrusion,train
row_003612,Malware,train
row_024018,Intrusion,train
row_036539,DDoS,train
row_037749,Malware,train
row_033417,DDoS,train
row_017481,Intrusion,train
row_010279,Malware,train
row_038390,DDoS,train
row_008791,Malware,train
row_001593,DDoS,train
row_038096,Intrusion,train
row_014710,DDoS,train
